Property ID,Alias ID,Total Follow-Ups,ID
232,208,Not Contacted,1
232,209,No Follow up,2
232,210,2,3
232,211,4,4
232,212,No Follow up,5
232,213,No Follow up,6
232,214,No Follow up,7
232,215,4,8
232,216,Not Contacted,9
232,217,No Follow up,10
232,218,No Follow up,11
232,219,Not Contacted,12
232,220,No Follow up,13
232,221,8,14
232,222,Not Contacted,15
232,223,4,16
232,224,Not Contacted,17
232,225,Not Contacted,18
232,226,Not Contacted,19
232,227,Not Contacted,20
232,228,Not Contacted,21
233,208,19,22
233,209,No Follow up,23
233,210,Not Contacted,24
233,211,2,25
233,212,1,26
233,213,Not Contacted,27
233,214,Not Contacted,28
233,215,Not Contacted,29
233,216,No Follow up,30
233,217,No Follow up,31
233,218,No Follow up,32
233,219,14,33
233,220,Not Contacted,34
233,221,Not Contacted,35
233,222,2,36
233,223,2,37
233,224,Not Contacted,38
233,225,Not Contacted,39
233,226,Not Contacted,40
233,227,Not Contacted,41
233,228,Not Contacted,42
234,208,8,43
234,209,Not Contacted,44
234,210,Not Contacted,45
234,211,Not Contacted,46
234,212,1,47
234,213,Not Contacted,48
234,214,2,49
234,215,Not Contacted,50
234,216,Not Contacted,51
234,217,No Follow up,52
234,218,No Follow up,53
234,219,Not Contacted,54
234,220,Not Contacted,55
234,221,Not Contacted,56
234,222,5,57
234,223,6,58
234,224,Not Contacted,59
234,225,Not Contacted,60
234,226,Not Contacted,61
234,227,Not Contacted,62
234,228,Not Contacted,63
235,208,11,64
235,209,2,65
235,210,15,66
235,211,5,67
235,212,No Follow up,68
235,213,Not Contacted,69
235,214,Not Contacted,70
235,215,3,71
235,216,Not Contacted,72
235,217,No Follow up,73
235,218,No Follow up,74
235,219,Not Contacted,75
235,220,Not Contacted,76
235,221,Not Contacted,77
235,222,Not Contacted,78
235,223,6,79
235,224,2,80
235,225,Not Contacted,81
235,226,Not Contacted,82
235,227,Not Contacted,83
235,228,Not Contacted,84
236,208,Not Contacted,85
236,209,2,86
236,210,12,87
236,211,14,88
236,212,1,89
236,213,5,90
236,214,2,91
236,215,7,92
236,216,1,93
236,217,No Follow up,94
236,218,Not Contacted,95
236,219,Not Contacted,96
236,220,Not Contacted,97
236,221,Not Contacted,98
236,222,8,99
236,223,2,100
236,224,Not Contacted,101
236,225,Not Contacted,102
236,226,Not Contacted,103
236,227,Not Contacted,104
236,228,Not Contacted,105
237,208,Not Contacted,106
237,209,Not Contacted,107
237,210,Not Contacted,108
237,211,9,109
237,212,No Follow up,110
237,213,No Follow up,111
237,214,Not Contacted,112
237,215,4,113
237,216,Not Contacted,114
237,217,No Follow up,115
237,218,No Follow up,116
237,219,Not Contacted,117
237,220,No Follow up,118
237,221,10,119
237,222,3,120
237,223,8,121
237,224,1,122
237,225,Not Contacted,123
237,226,Not Contacted,124
237,227,Not Contacted,125
237,228,Not Contacted,126
238,208,Not Contacted,127
238,209,Not Contacted,128
238,210,Not Contacted,129
238,211,Not Contacted,130
238,212,Not Contacted,131
238,213,No Follow up,132
238,214,No Follow up,133
238,215,Not Contacted,134
238,216,Not Contacted,135
238,217,No Follow up,136
238,218,Not Contacted,137
238,219,Not Contacted,138
238,220,Not Contacted,139
238,221,Not Contacted,140
238,222,Not Contacted,141
238,223,2,142
238,224,Not Contacted,143
238,225,Not Contacted,144
238,226,Not Contacted,145
238,227,Not Contacted,146
238,228,Not Contacted,147
239,208,5,148
239,209,10,149
239,210,5,150
239,211,23,151
239,212,No Follow up,152
239,213,9,153
239,214,No Follow up,154
239,215,19,155
239,216,7,156
239,217,1,157
239,218,1,158
239,219,21,159
239,220,9,160
239,221,Not Contacted,161
239,222,Not Contacted,162
239,223,4,163
239,224,Not Contacted,164
239,225,Not Contacted,165
239,226,Not Contacted,166
239,227,Not Contacted,167
239,228,Not Contacted,168
240,208,6,169
240,209,2,170
240,210,Not Contacted,171
240,211,5,172
240,212,2,173
240,213,Not Contacted,174
240,214,2,175
240,215,Not Contacted,176
240,216,Not Contacted,177
240,217,Not Contacted,178
240,218,4,179
240,219,7,180
240,220,2,181
240,221,6,182
240,222,Not Contacted,183
240,223,11,184
240,224,Not Contacted,185
240,225,Not Contacted,186
240,226,Not Contacted,187
240,227,Not Contacted,188
240,228,Not Contacted,189
241,208,4,190
241,209,No Follow up,191
241,210,5,192
241,211,No Follow up,193
241,212,Not Contacted,194
241,213,No Follow up,195
241,214,No Follow up,196
241,215,6,197
241,216,Not Contacted,198
241,217,2,199
241,218,2,200
241,219,Not Contacted,201
241,220,No Follow up,202
241,221,Not Contacted,203
241,222,Not Contacted,204
241,223,11,205
241,224,Not Contacted,206
241,225,Not Contacted,207
241,226,Not Contacted,208
241,227,Not Contacted,209
241,228,Not Contacted,210
242,208,4,211
242,209,No Follow up,212
242,210,No Follow up,213
242,211,3,214
242,212,No Follow up,215
242,213,No Follow up,216
242,214,No Follow up,217
242,215,6,218
242,216,Not Contacted,219
242,217,3,220
242,218,No Follow up,221
242,219,5,222
242,220,No Follow up,223
242,221,Not Contacted,224
242,222,6,225
242,223,8,226
242,224,No Follow up,227
242,225,Not Contacted,228
242,226,Not Contacted,229
242,227,Not Contacted,230
242,228,Not Contacted,231
243,208,5,232
243,209,1,233
243,210,8,234
243,211,4,235
243,212,4,236
243,213,2,237
243,214,4,238
243,215,8,239
243,216,Not Contacted,240
243,217,1,241
243,218,No Follow up,242
243,219,2,243
243,220,Not Contacted,244
243,221,2,245
243,222,1,246
243,223,11,247
243,224,No Follow up,248
243,225,No Follow up,249
243,226,Not Contacted,250
243,227,Not Contacted,251
243,228,Not Contacted,252
244,208,4,253
244,209,1,254
244,210,No Follow up,255
244,211,No Follow up,256
244,212,No Follow up,257
244,213,1,258
244,214,1,259
244,215,No Follow up,260
244,216,Not Contacted,261
244,217,No Follow up,262
244,218,No Follow up,263
244,219,No Follow up,264
244,220,Not Contacted,265
244,221,3,266
244,222,Not Contacted,267
244,223,1,268
244,224,No Follow up,269
244,225,No Follow up,270
244,226,1,271
244,227,Not Contacted,272
244,228,Not Contacted,273
245,208,3,274
245,209,No Follow up,275
245,210,2,276
245,211,3,277
245,212,No Follow up,278
245,213,No Follow up,279
245,214,No Follow up,280
245,215,1,281
245,216,No Follow up,282
245,217,No Follow up,283
245,218,No Follow up,284
245,219,No Follow up,285
245,220,No Follow up,286
245,221,Not Contacted,287
245,222,Not Contacted,288
245,223,No Follow up,289
245,224,No Follow up,290
245,225,Not Contacted,291
245,226,Not Contacted,292
245,227,Not Contacted,293
245,228,Not Contacted,294
246,208,8,295
246,209,No Follow up,296
246,210,6,297
246,211,Not Contacted,298
246,212,No Follow up,299
246,213,No Follow up,300
246,214,Not Contacted,301
246,215,6,302
246,216,No Follow up,303
246,217,No Follow up,304
246,218,No Follow up,305
246,219,No Follow up,306
246,220,Not Contacted,307
246,221,6,308
246,222,No Follow up,309
246,223,8,310
246,224,No Follow up,311
246,225,No Follow up,312
246,226,6,313
246,227,Not Contacted,314
246,228,Not Contacted,315
247,208,No Follow up,316
247,209,2,317
247,210,1,318
247,211,1,319
247,212,No Follow up,320
247,213,No Follow up,321
247,214,No Follow up,322
247,215,No Follow up,323
247,216,No Follow up,324
247,217,No Follow up,325
247,218,No Follow up,326
247,219,2,327
247,220,Not Contacted,328
247,221,No Follow up,329
247,222,4,330
247,223,1,331
247,224,No Follow up,332
247,225,Not Contacted,333
247,226,Not Contacted,334
247,227,Not Contacted,335
247,228,Not Contacted,336
248,208,No Follow up,337
248,209,3,338
248,210,10,339
248,211,1,340
248,212,2,341
248,213,No Follow up,342
248,214,2,343
248,215,3,344
248,216,1,345
248,217,No Follow up,346
248,218,No Follow up,347
248,219,No Follow up,348
248,220,No Follow up,349
248,221,1,350
248,222,Not Contacted,351
248,223,5,352
248,224,2,353
248,225,Not Contacted,354
248,226,Not Contacted,355
248,227,Not Contacted,356
248,228,Not Contacted,357
249,208,5,358
249,209,1,359
249,210,No Follow up,360
249,211,1,361
249,212,1,362
249,213,1,363
249,214,1,364
249,215,4,365
249,216,No Follow up,366
249,217,No Follow up,367
249,218,No Follow up,368
249,219,1,369
249,220,No Follow up,370
249,221,No Follow up,371
249,222,4,372
249,223,1,373
249,224,Not Contacted,374
249,225,Not Contacted,375
249,226,Not Contacted,376
249,227,Not Contacted,377
249,228,Not Contacted,378
250,208,3,379
250,209,1,380
250,210,2,381
250,211,3,382
250,212,2,383
250,213,2,384
250,214,1,385
250,215,No Follow up,386
250,216,1,387
250,217,1,388
250,218,1,389
250,219,No Follow up,390
250,220,No Follow up,391
250,221,1,392
250,222,1,393
250,223,9,394
250,224,Not Contacted,395
250,225,Not Contacted,396
250,226,Not Contacted,397
250,227,Not Contacted,398
250,228,Not Contacted,399
251,208,No Follow up,400
251,209,No Follow up,401
251,210,No Follow up,402
251,211,1,403
251,212,No Follow up,404
251,213,No Follow up,405
251,214,No Follow up,406
251,215,No Follow up,407
251,216,No Follow up,408
251,217,No Follow up,409
251,218,No Follow up,410
251,219,1,411
251,220,No Follow up,412
251,221,Not Contacted,413
251,222,4,414
251,223,1,415
251,224,No Follow up,416
251,225,Not Contacted,417
251,226,Not Contacted,418
251,227,Not Contacted,419
251,228,Not Contacted,420
